"warning","Attention"
"information","Information"
"error_templates","Aucun templates trouvé pour votre format de pages."
"no_pages_in_catalog","Il n'y a aucune page dans ce catalogue, pour créer une page, faîtes un clic droit sur le catalogue puis : Ajouter une page > Wireframe / Page."
"catalog","catalogue"
"chapter","chapitre"
"page","page"
"pages","pages"
"pages_noted","pages annotées"
"page_noted","page annotée"
"pages_validate","pages validées"
"page_validate","page validée"
"on","sur"
"error_reloadcatalog","Une erreur est survenu lors de la génération des pages, merci de contacter le support"
"error_pagination",""Une erreur est survenu lors de la numerotation des pages, merci de contacter le support"
"error_uploadfiles","Une erreur est survenu lors de l'envoie de vos fichiers. Si le problème persiste, merci de contacter le support."
"error_mkdir","Une erreur est survenu lors de la création d'un dossier. Merci de corriger les droit d'accès en écriture au dossier /website/var. Si le problème persiste merci de contacter le support."
"error_create_pdf","Une erreur est survenu lors de la création du PDF. Si le problème persiste merci de contacter le support."
"title_form","Création d'un chemin de fer Webtoprint"
"form_success","Félicitation ! votre catalogue à bien été crée."
"information_start","Les champs précédés d'une étoile sont obligatoires."
"configuration","Configuration"
"chapters_pages","Chapitres & Pages"
"personalization","Personnalisation"
"information_configuration","Sélectionnez taille, orientation, marges... de votre catalogue ou chemin de fer."
"pages_format","Format des pages"
"formats","formats"
"other...","autre ..."
"width","Largeur"
"height","hauteur"
"orientation","Orientation"
"portrait","Portrait"
"landscape","Paysage"
"add_coverage","Ajouter les courvertures ?"
"yes","Oui"
"no","Non"
"margins","Marges (en mm)"
"top","Haut"
"bottom","Bas"
"outer_margin","Grand fond"
"inner_margin", "Petit fond"
"information_chapters_pages"," Ajoutez chapitres et pages hors chapitres."
"chapters","Chapitres"
"add_chapter","Ajouter un chapitre"
"wording","Libellé"
"number_of_pages","Nombre de pages"
"offline_pages_chapters","Pages hors chapitres"
"add_page","Ajouter une page"
"information_personalization","Vous pouvez sélectionner un gabarit pour vos pages."
"page_even","Pages paires"
"page_odd","Pages impaires"
"next","Suivant"
"back","Précédent"
"assemble_catalog","Créer mon document"
"first_cover","1ere-de-couv"
"second_cover","2eme-de-couv"
"third_cover","3eme-de-couv"
"fourth_cover","4eme-de-couv"
"view_indesign","Double page"
"view_catalog", "Brief"
"view_thumb","Miniature"
"new_paginator","Numérotation"
"new_thumbnail","Mettre à jour"
"hide_guides","Masquer les repères"
"show_guides","Afficher les repères"
"zoom_up","Zoom (+)"
"zoom_down","Zoom (-)"
"save","Enregistrer"
"number_first_page","Numéro de départ"
"generate","Générer"
"format_personalize","Format personnalisé"